Date,Low,Open,Volume,High,Close
8/26/2019,76.54,76.86,"1,739,137",77.93,77.92
8/27/2019,76.88,77.56,"2,243,955",77.96,76.98
8/28/2019,76.14,76.79,"2,039,388",77.23,76.92
8/29/2019,77.26,77.73,"1,406,224",78.27,77.87
8/30/2019,77.65,78.24,"1,725,791",78.24,77.91
9/3/2019,76.86,77.76,"1,764,122",77.8,76.99
9/4/2019,76.88,77.37,"1,905,887",77.7,77.47
9/5/2019,77.41,78.08,"1,966,837",78.42,77.69
9/6/2019,77.71,77.82,"2,936,039",79.02,79
9/9/2019,78.44,79.18,"2,519,080",79.32,78.98
9/10/2019,77.8,78.63,"2,258,354",78.63,78.24
9/11/2019,78.07,78.25,"2,416,712",79.62,79.59
9/12/2019,79.24,79.73,"2,009,593",80.45,79.54
9/13/2019,78.88,79.94,"1,740,926",79.94,79.25
9/16/2019,78.59,78.81,"2,182,864",79.49,79.41
9/17/2019,78.91,79.58,"2,860,909",80.4,80.06
9/18/2019,79.43,80.06,"2,222,749",80.4,79.97
9/19/2019,80.39,80.57,"2,856,576",81,80.85
9/20/2019,78.93,80.41,"7,221,332",80.7,80.44
9/23/2019,79.66,79.87,"2,450,344",80.63,79.81
9/24/2019,78.88,80.34,"3,698,799",80.34,79.21
9/25/2019,78.71,79.38,"1,974,641",79.88,79.66
9/26/2019,78.81,79.82,"1,933,139",79.86,78.85
9/27/2019,76.62,78.91,"3,414,026",79,77.42
9/30/2019,77.48,77.73,"2,332,272",78.94,78.62
10/1/2019,77.86,78.73,"2,825,336",79.22,78.06
10/2/2019,75.68,77.46,"3,290,588",77.83,76.27
10/3/2019,75.88,76.46,"2,379,427",77.27,76.88
10/4/2019,76.82,76.82,"1,846,884",77.93,77.85
10/7/2019,77.49,77.49,"1,954,637",78.53,78.33
10/8/2019,77.22,77.64,"2,351,043",78,77.47
10/9/2019,77.17,77.97,"1,987,666",78.14,77.65
10/10/2019,76.89,77.58,"2,418,857",78.34,78.16
10/11/2019,78.4,78.51,"2,078,052",79.88,79.38
10/14/2019,78.42,79.38,"2,003,930",79.38,78.48
10/15/2019,78.65,78.8,"1,878,574",79.79,79.59
10/16/2019,79.45,79.59,"2,266,873",80.03,79.86
10/17/2019,79.02,80.3,"3,920,970",81.03,80.9
10/18/2019,80.63,80.99,"3,218,004",82.18,81.45
10/21/2019,81.56,81.62,"2,928,558",82.38,81.94
10/22/2019,81.5,82.38,"2,253,954",82.42,81.52
10/23/2019,80.92,81.29,"1,311,624",81.6,81.21
10/24/2019,80.87,81.1,"1,894,587",81.48,81.33
10/25/2019,81.36,81.53,"2,018,085",82.03,81.47
10/28/2019,81.61,81.86,"3,082,497",82.97,82.24
10/29/2019,79.57,81.09,"4,223,395",82.22,81.62
10/30/2019,81.39,81.42,"4,165,997",83.69,83.12
10/31/2019,81.63,83.2,"2,688,251",83.35,82.51
11/1/2019,81.85,82.94,"2,613,330",83.04,82.32
11/4/2019,80.3,82.55,"3,096,921",82.65,80.77
11/5/2019,80.7,80.91,"1,741,649",81.7,81.32
11/6/2019,81.14,81.45,"2,712,612",81.79,81.71
11/7/2019,81.41,82.25,"2,685,921",82.88,81.71
11/8/2019,80.68,81.65,"1,620,667",81.69,80.79
11/11/2019,77.41,80.44,"6,403,641",80.99,79.47
11/12/2019,77.06,79.47,"4,354,039",79.5,77.29
11/13/2019,76.66,77.49,"2,731,865",77.93,77.83
11/14/2019,76.35,77.24,"2,903,358",77.68,76.7
11/15/2019,77.19,77.42,"3,956,535",79.35,77.93
11/18/2019,76.19,76.73,"4,244,108",78.3,78.05
11/19/2019,76.77,78.06,"2,367,072",78.16,77.02
11/20/2019,76.58,76.71,"2,802,097",77.53,77.5
11/21/2019,77.22,77.7,"1,707,251",77.8,77.56
11/22/2019,77.65,77.81,"2,916,151",78.63,78.44
11/25/2019,77.45,78.59,"2,990,375",78.72,77.86
11/26/2019,77.45,77.86,"2,887,475",78.55,78.3
11/27/2019,78.32,78.32,"2,085,400",79.15,78.83
11/29/2019,78.35,78.73,"874,523",79.13,78.4
12/2/2019,76.72,78.43,"2,904,929",78.69,77.5
12/3/2019,76.67,77.31,"2,084,960",77.92,77.87
12/4/2019,77.3,77.91,"1,909,034",78.38,78.2
12/5/2019,76.75,77.93,"2,825,742",78.06,76.8
12/6/2019,76.49,77.4,"2,905,726",77.86,77.6
12/9/2019,75.16,77.56,"4,392,372",77.76,75.73
12/10/2019,74.79,75.65,"3,086,362",75.76,74.88
12/11/2019,74.17,74.94,"3,381,066",75.27,74.48
12/12/2019,74.32,75.09,"2,851,416",75.11,74.75
12/13/2019,74.51,74.83,"2,730,419",75.4,75.33
12/16/2019,75.09,75.39,"3,494,517",75.71,75.33
12/17/2019,74.88,75.31,"3,610,448",75.56,75.35
12/18/2019,75.32,75.48,"4,356,390",76.28,76.17
12/19/2019,75.86,75.9,"3,098,658",77.41,77.08
12/20/2019,76.88,77.79,"5,955,339",77.79,77.26
12/23/2019,76.78,77.33,"1,712,565",77.42,76.82
12/24/2019,76.78,76.91,"470,937",77.27,77.18
12/26/2019,77.16,77.32,"1,243,166",77.4,77.26
12/27/2019,76.87,77.18,"1,312,470",77.36,77.1
12/30/2019,77.04,77.33,"2,346,363",77.96,77.94
12/31/2019,77.64,77.8,"1,718,092",78.29,78.28
1/2/2020,77.79,78.73,"3,398,989",78.74,78.44
1/3/2020,77.33,77.92,"1,835,450",78.28,78.03
1/6/2020,77.83,77.99,"2,682,999",78.7,78.47
1/7/2020,78.01,78.42,"3,269,163",79.36,78.77
1/8/2020,77.94,79.07,"3,043,272",79.64,79.27
