Date,Low,Open,Volume,High,Close
3/6/2019,0.42,0.46,"1,790,802",0.46,0.44
3/7/2019,0.42,0.43,"1,480,359",0.44,0.42
3/8/2019,0.4,0.42,"1,468,524",0.43,0.41
3/11/2019,0.39,0.42,"2,435,261",0.42,0.39
3/12/2019,0.39,0.39,"1,491,031",0.42,0.4
3/13/2019,0.4,0.41,"2,354,503",0.43,0.43
3/14/2019,0.42,0.43,"8,017,949",0.45,0.43
3/15/2019,0.42,0.43,"4,281,724",0.44,0.44
3/18/2019,0.43,0.44,"1,189,322",0.47,0.47
3/19/2019,0.45,0.47,"1,143,805",0.47,0.46
3/20/2019,0.43,0.46,"1,001,767",0.46,0.45
3/21/2019,0.44,0.45,"1,377,672",0.45,0.44
3/22/2019,0.42,0.42,"1,168,156",0.44,0.43
3/25/2019,0.42,0.43,"684,740",0.44,0.42
3/26/2019,0.42,0.42,"1,257,790",0.44,0.43
3/27/2019,0.41,0.43,"850,785",0.44,0.43
3/28/2019,0.42,0.43,"829,893",0.43,0.42
3/29/2019,0.41,0.43,"1,236,539",0.44,0.43
4/1/2019,0.41,0.43,"1,404,223",0.44,0.42
4/2/2019,0.41,0.42,"1,227,770",0.42,0.42
4/3/2019,0.41,0.42,"592,748",0.42,0.42
4/4/2019,0.42,0.42,"991,837",0.44,0.42
4/5/2019,0.41,0.42,"3,104,837",0.43,0.41
4/8/2019,0.41,0.41,"1,107,213",0.42,0.41
4/9/2019,0.4,0.41,"1,316,984",0.42,0.41
4/10/2019,0.4,0.41,"1,304,969",0.42,0.42
4/11/2019,0.41,0.42,"831,959",0.42,0.41
4/12/2019,0.4,0.42,"714,882",0.42,0.42
4/15/2019,0.41,0.42,"622,300",0.42,0.41
4/16/2019,0.41,0.41,"787,392",0.42,0.42
4/17/2019,0.42,0.42,"6,092,840",0.43,0.43
4/18/2019,0.42,0.43,"838,866",0.43,0.42
4/22/2019,0.41,0.42,"3,028,510",0.44,0.43
4/23/2019,0.42,0.42,"942,681",0.44,0.44
4/24/2019,0.42,0.44,"4,977,215",0.52,0.5
4/25/2019,0.46,0.5,"3,243,784",0.51,0.51
4/26/2019,0.48,0.51,"1,503,501",0.51,0.5
4/29/2019,0.49,0.5,"758,835",0.51,0.51
4/30/2019,0.49,0.5,"2,218,493",0.55,0.53
5/1/2019,0.52,0.53,"1,116,710",0.54,0.53
5/2/2019,0.53,0.53,"1,533,144",0.55,0.55
5/3/2019,0.55,0.55,"2,092,405",0.59,0.57
5/6/2019,0.56,0.56,"4,244,431",0.63,0.62
5/7/2019,0.6,0.63,"2,932,514",0.63,0.61
5/8/2019,0.61,0.63,"2,400,875",0.66,0.66
5/9/2019,0.64,0.66,"1,733,283",0.67,0.67
5/10/2019,0.63,0.65,"1,287,420",0.69,0.69
5/13/2019,0.63,0.68,"3,351,126",0.69,0.65
5/14/2019,0.61,0.65,"2,225,974",0.65,0.64
5/15/2019,0.63,0.63,"1,125,158",0.65,0.63
5/16/2019,0.54,0.62,"3,910,061",0.63,0.55
5/17/2019,0.53,0.54,"2,584,602",0.58,0.54
5/20/2019,0.54,0.55,"1,029,197",0.57,0.56
5/21/2019,0.55,0.58,"675,762",0.58,0.56
5/22/2019,0.51,0.57,"1,068,549",0.57,0.54
5/23/2019,0.5,0.53,"1,338,560",0.54,0.52
5/24/2019,0.52,0.52,"617,254",0.55,0.53
5/28/2019,0.52,0.53,"1,210,174",0.58,0.55
5/29/2019,0.54,0.55,"1,964,564",0.58,0.56
5/30/2019,0.51,0.55,"1,250,176",0.56,0.52
5/31/2019,0.51,0.51,"1,444,545",0.57,0.56
6/3/2019,0.52,0.56,"739,472",0.56,0.55
6/4/2019,0.52,0.53,"1,897,437",0.58,0.52
6/5/2019,0.53,0.53,"998,195",0.56,0.55
6/6/2019,0.53,0.55,"622,526",0.56,0.53
6/7/2019,0.52,0.54,"1,062,513",0.54,0.53
6/10/2019,0.52,0.53,"610,898",0.53,0.53
