Date,Low,Open,Volume,High,Close
9/4/2019,"1,296.60","1,310.14","55,960","1,314.00","1,307.83"
9/5/2019,"1,297.50","1,318.58","59,803","1,321.49","1,308.65"
9/6/2019,"1,304.21","1,312.72","42,290","1,317.95","1,308.58"
9/9/2019,"1,289.00","1,312.75","47,808","1,319.28","1,292.15"
9/10/2019,"1,250.57","1,285.34","49,669","1,285.34","1,268.73"
9/11/2019,"1,255.00","1,272.90","31,481","1,275.39","1,267.01"
9/12/2019,"1,250.49","1,268.50","29,897","1,270.80","1,252.54"
9/13/2019,"1,250.00","1,254.20","20,985","1,262.08","1,254.57"
9/16/2019,"1,232.51","1,251.97","37,123","1,253.00","1,238.81"
9/17/2019,"1,240.37","1,240.37","33,102","1,266.08","1,254.30"
9/18/2019,"1,238.14","1,250.00","28,470","1,259.48","1,248.29"
9/19/2019,"1,227.20","1,251.46","33,727","1,253.27","1,230.64"
9/20/2019,"1,215.75","1,230.63","77,626","1,244.53","1,242.63"
9/23/2019,"1,234.60","1,239.99","36,368","1,260.15","1,253.06"
9/24/2019,"1,249.00","1,261.00","33,151","1,263.00","1,253.17"
9/25/2019,"1,245.00","1,252.88","37,094","1,260.70","1,254.76"
9/26/2019,"1,241.47","1,251.65","25,980","1,256.01","1,249.52"
9/27/2019,"1,237.12","1,251.11","41,438","1,252.90","1,249.70"
9/30/2019,"1,246.00","1,251.80","16,344","1,264.00","1,254.70"
10/1/2019,"1,252.05","1,258.82","46,745","1,281.00","1,274.05"
10/2/2019,"1,259.07","1,270.73","47,559","1,280.35","1,259.07"
10/3/2019,"1,257.80","1,261.88","43,351","1,275.99","1,264.45"
10/4/2019,"1,267.46","1,267.46","19,307","1,276.24","1,274.46"
10/7/2019,"1,262.28","1,271.48","18,952","1,272.68","1,262.28"
10/8/2019,"1,247.00","1,256.83","18,323","1,264.07","1,257.20"
10/9/2019,"1,260.00","1,264.94","24,461","1,281.81","1,280.17"
10/10/2019,"1,275.65","1,280.60","13,859","1,291.10","1,284.08"
10/11/2019,"1,281.00","1,288.69","38,281","1,294.80","1,285.31"
10/14/2019,"1,274.60","1,285.93","20,119","1,285.93","1,280.99"
10/15/2019,"1,272.58","1,279.44","16,914","1,285.90","1,282.54"
10/16/2019,"1,262.93","1,280.70","23,053","1,292.93","1,290.96"
10/17/2019,"1,296.05","1,296.10","15,901","1,306.05","1,303.99"
10/18/2019,"1,292.23","1,301.99","15,072","1,303.55","1,296.94"
10/21/2019,"1,284.24","1,301.60","17,118","1,308.77","1,288.19"
10/22/2019,"1,283.69","1,291.35","17,594","1,297.89","1,291.24"
10/23/2019,"1,284.00","1,291.94","16,940","1,298.63","1,292.15"
10/24/2019,"1,285.00","1,295.45","13,952","1,297.10","1,292.77"
10/25/2019,"1,294.00","1,294.61","16,311","1,320.50","1,309.21"
10/28/2019,"1,311.12","1,311.53","14,908","1,332.24","1,313.75"
10/29/2019,"1,309.00","1,311.44","18,447","1,327.00","1,316.74"
10/30/2019,"1,308.26","1,315.66","16,300","1,331.79","1,331.79"
10/31/2019,"1,324.02","1,329.77","23,131","1,339.90","1,325.37"
11/1/2019,"1,330.42","1,330.42","27,095","1,353.60","1,344.29"
11/4/2019,"1,324.90","1,340.63","33,171","1,350.01","1,328.01"
11/5/2019,"1,318.12","1,330.00","24,185","1,337.91","1,330.39"
11/6/2019,"1,330.00","1,331.99","24,908","1,347.62","1,342.66"
11/7/2019,"1,333.80","1,344.88","36,738","1,358.97","1,356.19"
11/8/2019,"1,369.45","1,369.45","22,650","1,436.97","1,425.00"
11/11/2019,"1,418.38","1,418.38","36,444","1,476.25","1,476.25"
11/12/2019,"1,460.51","1,478.25","41,236","1,494.70","1,491.57"
11/13/2019,"1,488.80","1,488.80","25,892","1,509.98","1,499.76"
11/14/2019,"1,491.00","1,500.12","19,435","1,506.81","1,506.81"
11/15/2019,"1,445.56","1,506.80","47,278","1,506.80","1,475.46"
11/18/2019,"1,471.48","1,471.48","26,531","1,520.65","1,517.67"
